                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3758,                  4.265,                 3.1406,                0.13233,                0.02456,                0.01746,                0.00549,                 3.2498,                 2.8127,                 1.9035,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.8951,                 2.5503,                 1.6629,                0.36517,                0.08504,                0.05069,                0.01957,                  2.617,                 2.3192,                 1.3958,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4472,                 2.1778,                 1.3901,                0.19784,                0.12444,                0.07872,                0.03596,                 2.2214,                 1.9171,                 1.2499,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2097,                 1.9506,                 1.2777,                0.16307,                0.14266,                0.10561,                0.05252,                 2.0177,                 1.6917,                 1.1734,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.045,                 1.7718,                 1.2105,                0.28373,                0.14841,                0.12006,                0.06017,                 1.9033,                 1.5514,                 1.1323,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9504,                 1.6681,                  1.168,                0.20344,                0.17366,                0.13591,                0.06802,                 1.8226,                 1.4708,                 1.1086,               0.009802,               0.009802,               0.009802
                      7,                 1.8829,                 1.5881,                 1.1484,                0.22408,                0.18711,                0.15309,                0.07784,                 1.7766,                 1.3892,                 1.0974,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8331,                 1.5285,                 1.1271,                0.24193,                0.19668,                0.16483,                0.08423,                  1.712,                 1.3573,                 1.0778,               0.009703,               0.009703,               0.009703
                      9,                  1.786,                 1.4842,                 1.1149,                0.25739,                0.20561,                 0.1752,                0.09205,                 1.6666,                 1.3076,                 1.0637,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7518,                   1.44,                 1.1027,                0.27549,                0.21219,                0.18057,                0.09636,                 1.6601,                 1.2894,                 1.0645,               0.009604,               0.009604,               0.009604
                     11,                 1.7354,                 1.4198,                 1.1007,                 0.2915,                0.21043,                0.18901,                0.09962,                 1.6176,                  1.261,                 1.0485,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6947,                 1.3813,                 1.0906,                0.29537,                0.22023,                 0.1974,                0.10453,                 1.6092,                 1.2499,                 1.0431,               0.009505,               0.009505,               0.009505
                     13,                 1.6888,                 1.3666,                 1.0817,                0.30665,                0.22702,                0.20283,                0.10725,                 1.5846,                 1.2302,                 1.0375,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6753,                 1.3453,                 1.0758,                0.31785,                0.23396,                0.21065,                0.11174,                 1.5668,                 1.1992,                 1.0301,               0.009406,               0.009406,               0.009406
                     15,                 1.6554,                 1.3237,                 1.0705,                0.30854,                0.23535,                0.21242,                0.11368,                 1.5534,                 1.1972,                 1.0294,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6391,                 1.3095,                 1.0669,                 0.3068,                0.23187,                0.21149,                0.11372,                 1.5555,                 1.1975,                 1.0268,               0.009307,               0.009307,               0.009307
                     17,                 1.6303,                 1.2963,                 1.0639,                0.31123,                0.24101,                0.22051,                0.11897,                 1.5296,                 1.1715,                 1.0158,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6211,                 1.2854,                 1.0569,                 0.3148,                0.24506,                0.22213,                0.12057,                 1.5307,                 1.1799,                 1.0192,               0.009208,               0.009208,               0.009208
                     19,                 1.6078,                 1.2651,                 1.0516,                0.33077,                0.24872,                0.23099,                0.12597,                 1.5111,                 1.1513,                 1.0147,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5923,                 1.2483,                 1.0522,                0.31965,                0.25267,                0.23259,                 0.1274,                 1.4994,                 1.1297,                 1.0077,               0.009109,               0.009109,               0.009109
                     21,                  1.587,                 1.2458,                 1.0473,                0.34125,                0.25488,                0.23199,                0.12649,                 1.5049,                 1.1421,                 1.0091,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5799,                 1.2397,                 1.0449,                0.33761,                0.25681,                0.23321,                0.12778,                  1.498,                 1.1368,                 1.0109,                0.00901,                0.00901,                0.00901
                     23,                 1.5644,                 1.2202,                 1.0403,                0.32773,                0.26109,                0.23992,                0.13238,                 1.4779,                 1.1222,                 1.0045,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5597,                 1.2148,                 1.0382,                0.35042,                 0.2594,                0.24339,                0.13492,                   1.47,                 1.1117,                 1.0022,               0.008911,               0.008911,               0.008911
                     25,                 1.5511,                 1.2056,                 1.0373,                0.33722,                 0.2601,                0.24068,                0.13302,                 1.4624,                 1.1146,                0.99677,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5501,                 1.2038,                 1.0357,                0.35624,                0.25905,                0.24706,                0.13757,                 1.4625,                 1.1019,                0.99488,               0.008812,               0.008812,               0.008812
                     27,                 1.5344,                  1.192,                 1.0333,                0.34061,                0.27474,                0.25422,                0.14043,                 1.4445,                 1.0961,                0.99282,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5367,                 1.1859,                 1.0323,                0.34357,                0.26006,                0.24624,                0.13746,                 1.4511,                 1.0982,                0.99461,               0.008713,               0.008713,               0.008713
                     29,                  1.531,                 1.1801,                 1.0309,                0.35741,                0.27112,                0.25067,                0.13988,                 1.4468,                 1.0922,                0.99447,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5224,                 1.1669,                  1.025,                 0.3713,                0.26737,                 0.2547,                0.14148,                 1.4434,                 1.0884,                0.99307,               0.008614,               0.008614,               0.008614
                     31,                  1.525,                 1.1744,                 1.0281,                0.35402,                0.27404,                0.25682,                0.14341,                 1.4387,                 1.0801,                 0.9911,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5172,                 1.1618,                 1.0218,                0.37029,                0.27258,                0.26003,                0.14478,                 1.4345,                 1.0708,                0.99181,               0.008515,               0.008515,               0.008515
                     33,                 1.5148,                 1.1649,                 1.0271,                0.36332,                0.27504,                0.25768,                 0.1446,                 1.4284,                 1.0685,                0.98758,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5075,                 1.1475,                 1.0204,                0.35494,                0.27212,                0.25713,                 0.1438,                 1.4264,                 1.0663,                0.98822,               0.008416,               0.008416,               0.008416
                     35,                 1.4986,                 1.1467,                 1.0204,                 0.3549,                0.28043,                0.26178,                0.14603,                 1.4213,                 1.0651,                0.98626,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5054,                 1.1447,                 1.0203,                0.37072,                0.28431,                0.26631,                0.14908,                 1.4168,                 1.0621,                0.98531,               0.008317,               0.008317,               0.008317
                     37,                 1.4964,                  1.137,                 1.0158,                  0.378,                0.27532,                0.26293,                0.14845,                 1.4102,                 1.0588,                0.98095,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4858,                 1.1287,                 1.0145,                0.37362,                0.28246,                0.26832,                0.15085,                  1.411,                 1.0549,                0.98071,               0.008218,               0.008218,               0.008218
                     39,                 1.4854,                 1.1301,                 1.0183,                0.36635,                0.27967,                0.26761,                0.15057,                 1.4108,                 1.0551,                0.98031,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4789,                 1.1247,                 1.0138,                0.37939,                0.28499,                 0.2699,                0.15157,                 1.3968,                 1.0448,                0.97652,               0.008119,               0.008119,               0.008119
                     41,                  1.485,                 1.1246,                 1.0151,                0.36983,                0.28524,                0.27187,                0.15264,                 1.4008,                 1.0398,                0.97832,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4763,                 1.1117,                 1.0117,                0.36378,                0.28991,                 0.2701,                0.15273,                 1.3968,                 1.0455,                0.97734,                0.00802,                0.00802,                0.00802
                     43,                 1.4782,                 1.1141,                 1.0119,                0.38587,                0.28625,                0.27668,                0.15512,                 1.3923,                 1.0365,                 0.9747,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4791,                  1.119,                 1.0088,                0.38517,                0.28741,                0.27393,                0.15619,                 1.3935,                 1.0319,                0.97657,               0.007921,               0.007921,               0.007921
                     45,                 1.4765,                 1.1102,                 1.0122,                0.38331,                0.29153,                0.27723,                0.15643,                 1.3913,                 1.0274,                0.97299,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4683,                 1.1011,                 1.0085,                0.38213,                 0.2919,                 0.2769,                0.15736,                  1.384,                 1.0247,                0.97202,               0.007822,               0.007822,               0.007822
                     47,                 1.4689,                 1.1063,                 1.0098,                0.38248,                0.28809,                0.27677,                0.15675,                 1.3833,                 1.0299,                0.97241,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4568,                 1.0998,                 1.0099,                0.37777,                0.28921,                0.27714,                0.15696,                 1.3811,                 1.0284,                0.97287,               0.007723,               0.007723,               0.007723
                     49,                 1.4532,                 1.0938,                  1.004,                0.38037,                0.29516,                0.27905,                0.15789,                 1.3815,                   1.03,                0.97284,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4517,                 1.0897,                 1.0043,                0.38708,                0.29357,                0.28023,                0.16022,                  1.375,                 1.0217,                0.97104,               0.007624,               0.007624,               0.007624
                     51,                 1.4502,                 1.0872,                 1.0023,                0.39707,                0.29451,                0.28165,                0.15992,                 1.3781,                 1.0231,                0.97228,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4447,                 1.0806,                 1.0015,                0.38667,                0.30052,                 0.2857,                0.16236,                  1.374,                 1.0136,                0.97023,               0.007525,               0.007525,               0.007525
                     53,                 1.4516,                  1.086,                 1.0029,                0.39495,                0.29496,                 0.2845,                0.16111,                 1.3759,                 1.0171,                0.97194,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4462,                 1.0721,                 1.0004,                0.38557,                0.29954,                0.28669,                0.16353,                 1.3654,                 1.0105,                 0.9686,               0.007426,               0.007426,               0.007426
                     55,                 1.4374,                 1.0767,                0.99966,                0.38104,                0.29783,                0.28684,                0.16391,                 1.3667,                 1.0103,                0.96918,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4315,                 1.0694,                 0.9996,                0.38978,                0.30038,                0.28758,                0.16355,                 1.3666,                 1.0106,                0.96869,               0.007327,               0.007327,               0.007327
                     57,                 1.4369,                  1.068,                 1.0005,                0.40082,                0.30073,                0.28884,                0.16418,                 1.3636,                  1.007,                0.96757,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4334,                 1.0688,                 1.0003,                0.40721,                0.29625,                 0.2884,                0.16436,                 1.3634,                 1.0051,                0.96781,               0.007228,               0.007228,               0.007228
                     59,                 1.4382,                 1.0679,                0.99793,                0.39701,                0.29927,                0.28847,                0.16364,                 1.3631,                 1.0023,                0.96698,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4341,                 1.0655,                0.99893,                0.39809,                0.29695,                0.29004,                0.16612,                 1.3606,                 1.0012,                0.96865,               0.007129,               0.007129,               0.007129
                     61,                 1.4242,                  1.058,                0.99906,                0.40135,                0.30377,                0.29273,                0.16667,                 1.3549,                0.99517,                0.96587,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4233,                 1.0573,                0.99568,                0.40806,                0.29917,                0.29174,                0.16712,                 1.3623,                0.99675,                0.96779,                0.00703,                0.00703,                0.00703
                     63,                 1.4273,                 1.0588,                0.99672,                0.39611,                0.30761,                0.29301,                0.16713,                 1.3538,                0.99609,                0.96505,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4248,                 1.0555,                0.99484,                0.40255,                0.30292,                0.29145,                0.16671,                 1.3559,                0.99671,                0.96631,               0.006931,               0.006931,               0.006931
                     65,                 1.4241,                 1.0509,                0.99529,                0.40848,                0.30447,                0.29675,                0.16821,                 1.3544,                 0.9943,                0.96548,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4204,                 1.0521,                0.99576,                0.39897,                0.30627,                0.29673,                0.16968,                 1.3486,                 0.9923,                0.96304,               0.006832,               0.006832,               0.006832
                     67,                 1.4149,                 1.0415,                0.99362,                0.40172,                0.30598,                 0.2946,                0.16884,                 1.3459,                0.99026,                0.96348,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.421,                  1.048,                 0.9919,                0.40349,                   0.31,                0.29813,                 0.1707,                 1.3462,                0.99007,                0.96147,               0.006733,               0.006733,               0.006733
                     69,                 1.4133,                 1.0465,                0.99568,                0.40002,                0.30971,                0.29768,                0.17088,                 1.3465,                0.98656,                0.96238,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.416,                  1.046,                0.99048,                0.40756,                0.30645,                0.29837,                0.17118,                 1.3468,                0.98561,                0.96319,               0.006634,               0.006634,               0.006634
                     71,                 1.4167,                 1.0393,                0.99239,                0.41083,                 0.3073,                0.29807,                0.17109,                 1.3442,                0.98601,                0.96336,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.4205,                 1.0484,                0.99056,                0.40601,                0.30429,                0.29742,                 0.1708,                 1.3413,                 0.9848,                0.96175,               0.006535,               0.006535,               0.006535
                     73,                 1.4044,                 1.0306,                0.99181,                0.40912,                0.30632,                0.29896,                0.17142,                 1.3428,                0.98546,                0.96195,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.4079,                 1.0363,                0.99049,                 0.4101,                0.30721,                0.29966,                 0.1734,                 1.3386,                0.98237,                0.96019,               0.006436,               0.006436,               0.006436
                     75,                 1.4014,                 1.0305,                0.98933,                0.40875,                0.30967,                0.30064,                0.17242,                 1.3398,                0.97991,                0.96071,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3977,                 1.0226,                0.99091,                0.40609,                0.31033,                0.30268,                0.17398,                 1.3415,                0.97968,                0.96149,               0.006337,               0.006337,               0.006337
                     77,                 1.4058,                 1.0314,                 0.9884,                0.40723,                0.31138,                0.30274,                 0.1743,                 1.3374,                0.97728,                0.96074,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.4004,                 1.0259,                0.98872,                0.40768,                0.31182,                 0.3021,                0.17337,                 1.3394,                0.97595,                0.96133,               0.006238,               0.006238,               0.006238
                     79,                  1.396,                  1.023,                0.98624,                 0.4079,                0.31384,                 0.3022,                0.17387,                 1.3378,                0.97863,                0.96082,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.4015,                  1.028,                0.98857,                0.41006,                0.31033,                0.30421,                0.17466,                 1.3373,                0.97583,                0.95964,               0.006139,               0.006139,               0.006139
                     81,                   1.39,                 1.0157,                0.98697,                0.41502,                0.31247,                 0.3046,                0.17571,                 1.3319,                0.97313,                0.95893,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3955,                 1.0179,                  0.988,                0.42652,                 0.3112,                0.30623,                0.17631,                 1.3315,                0.97216,                0.95897,                0.00604,                0.00604,                0.00604
                     83,                  1.391,                  1.013,                0.98678,                0.41806,                0.31007,                0.30544,                0.17635,                 1.3296,                0.97197,                0.95785,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3979,                 1.0188,                0.98328,                0.41597,                0.31039,                0.30497,                0.17571,                 1.3295,                0.96962,                0.95822,               0.005941,               0.005941,               0.005941
                     85,                 1.3858,                 1.0059,                0.98496,                0.41867,                0.31274,                0.30562,                 0.1764,                  1.329,                0.96809,                0.95746,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3861,                  1.009,                0.98464,                0.41406,                0.31201,                0.30395,                0.17497,                   1.33,                0.96904,                0.95784,               0.005842,               0.005842,               0.005842
                     87,                 1.3906,                 1.0096,                0.98476,                0.41856,                0.30902,                0.30537,                0.17638,                 1.3295,                0.97034,                0.95737,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3837,                 1.0059,                0.98263,                0.41679,                0.31416,                0.30721,                 0.1773,                 1.3269,                0.96615,                0.95625,               0.005743,               0.005743,               0.005743
                     89,                 1.3876,                 1.0113,                0.98396,                0.42129,                0.31198,                0.30775,                0.17788,                 1.3255,                0.96469,                0.95557,              0.0056935,              0.0056935,              0.0056935
                     90,                  1.385,                 1.0076,                0.98248,                0.42118,                 0.3133,                0.30779,                0.17773,                 1.3219,                0.96591,                 0.9551,               0.005644,               0.005644,               0.005644
                     91,                 1.3786,                0.99938,                0.98358,                0.40934,                0.31663,                0.30761,                0.17722,                 1.3238,                0.96816,                0.95543,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3795,                 1.0028,                0.98297,                0.41556,                0.31364,                0.30651,                 0.1766,                 1.3222,                0.96498,                0.95479,               0.005545,               0.005545,               0.005545
                     93,                  1.382,                 1.0051,                0.98353,                0.42135,                0.31434,                0.30944,                0.17762,                 1.3227,                0.96355,                0.95482,              0.0054955,              0.0054955,              0.0054955
                     94,                  1.381,                0.99906,                0.98338,                0.41597,                 0.3157,                0.30961,                0.17804,                 1.3216,                0.96176,                  0.954,               0.005446,               0.005446,               0.005446
                     95,                 1.3709,                0.99435,                0.97906,                 0.4204,                0.31679,                 0.3117,                0.17916,                 1.3206,                0.96039,                0.95348,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3728,                0.99483,                0.98203,                0.41423,                0.32401,                0.31254,                0.17999,                  1.321,                0.96175,                 0.9547,               0.005347,               0.005347,               0.005347
                     97,                 1.3776,                0.99434,                 0.9808,                0.41494,                0.32399,                0.31205,                0.17935,                 1.3211,                0.96194,                0.95438,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.3737,                0.99495,                0.98356,                0.41274,                0.32367,                0.31081,                0.17881,                 1.3213,                  0.963,                0.95436,               0.005248,               0.005248,               0.005248
                     99,                 1.3891,                 1.0022,                0.97854,                0.41399,                0.32504,                0.31217,                0.17966,                 1.3254,                0.96357,                0.95449,              0.0051985,              0.0051985,              0.0051985
